"","fishery","species","management","MC","catchShare","illegalFishing","implementYear","npv1","npv2"
"121","MNI Fishery","Scomberomorus regalis","BAU",1,"no_CS","illegal_fishing",2,31270.8620385278,0
"122","MNI Fishery","Scomberomorus regalis","30& MPA",1,"no_CS","illegal_fishing",2,23960.2660103503,0
"123","MNI Fishery","Scomberomorus regalis","BAU",1,"CS","illegal_fishing",2,31270.8620385278,0
"124","MNI Fishery","Scomberomorus regalis","30& MPA",1,"CS","illegal_fishing",2,23960.2660103503,0
"125","MNI Fishery","Scomberomorus regalis","BAU",1,"no_CS","no_illegal_fishing",2,31270.8620385278,0
"126","MNI Fishery","Scomberomorus regalis","30& MPA",1,"no_CS","no_illegal_fishing",2,23960.2660103503,0
"127","MNI Fishery","Scomberomorus regalis","BAU",1,"CS","no_illegal_fishing",2,31270.8620385278,0
"128","MNI Fishery","Scomberomorus regalis","30& MPA",1,"CS","no_illegal_fishing",2,23960.2660103503,0
"129","MNI Fishery","Acanthostracion polygonius","BAU",1,"no_CS","illegal_fishing",2,1197641.03234837,0
"130","MNI Fishery","Acanthostracion polygonius","30& MPA",1,"no_CS","illegal_fishing",2,1101141.74338317,0
"131","MNI Fishery","Acanthostracion polygonius","BAU",1,"CS","illegal_fishing",2,1197641.03234837,0
"132","MNI Fishery","Acanthostracion polygonius","30& MPA",1,"CS","illegal_fishing",2,1101141.74338317,0
"133","MNI Fishery","Acanthostracion polygonius","BAU",1,"no_CS","no_illegal_fishing",2,1197641.03234837,0
"134","MNI Fishery","Acanthostracion polygonius","30& MPA",1,"no_CS","no_illegal_fishing",2,1101141.74338317,0
"135","MNI Fishery","Acanthostracion polygonius","BAU",1,"CS","no_illegal_fishing",2,1197641.03234837,0
"136","MNI Fishery","Acanthostracion polygonius","30& MPA",1,"CS","no_illegal_fishing",2,1101141.74338317,0
"137","MNI Fishery","Acanthurus chirurgus","BAU",1,"no_CS","illegal_fishing",2,98831.5734217147,0
"138","MNI Fishery","Acanthurus chirurgus","30& MPA",1,"no_CS","illegal_fishing",2,112268.005926789,0
"139","MNI Fishery","Acanthurus chirurgus","BAU",1,"CS","illegal_fishing",2,98831.5734217147,0
"140","MNI Fishery","Acanthurus chirurgus","30& MPA",1,"CS","illegal_fishing",2,112268.005926789,0
"141","MNI Fishery","Acanthurus chirurgus","BAU",1,"no_CS","no_illegal_fishing",2,98831.5734217147,0
"142","MNI Fishery","Acanthurus chirurgus","30& MPA",1,"no_CS","no_illegal_fishing",2,112268.005926789,0
"143","MNI Fishery","Acanthurus chirurgus","BAU",1,"CS","no_illegal_fishing",2,98831.5734217147,0
"144","MNI Fishery","Acanthurus chirurgus","30& MPA",1,"CS","no_illegal_fishing",2,112268.005926789,0
"145","MNI Fishery","Acanthurus coeruleus","BAU",1,"no_CS","illegal_fishing",2,84973.0454150049,0
"146","MNI Fishery","Acanthurus coeruleus","30& MPA",1,"no_CS","illegal_fishing",2,107039.281873286,0
"147","MNI Fishery","Acanthurus coeruleus","BAU",1,"CS","illegal_fishing",2,84973.0454150049,0
"148","MNI Fishery","Acanthurus coeruleus","30& MPA",1,"CS","illegal_fishing",2,107039.281873286,0
"149","MNI Fishery","Acanthurus coeruleus","BAU",1,"no_CS","no_illegal_fishing",2,84973.0454150049,0
"150","MNI Fishery","Acanthurus coeruleus","30& MPA",1,"no_CS","no_illegal_fishing",2,107039.281873286,0
"151","MNI Fishery","Acanthurus coeruleus","BAU",1,"CS","no_illegal_fishing",2,84973.0454150049,0
"152","MNI Fishery","Acanthurus coeruleus","30& MPA",1,"CS","no_illegal_fishing",2,107039.281873286,0
"153","MNI Fishery","Aluterus scriptus","BAU",1,"no_CS","illegal_fishing",2,53760.214516621,0
"154","MNI Fishery","Aluterus scriptus","30& MPA",1,"no_CS","illegal_fishing",2,66069.6610490808,0
"155","MNI Fishery","Aluterus scriptus","BAU",1,"CS","illegal_fishing",2,53760.214516621,0
"156","MNI Fishery","Aluterus scriptus","30& MPA",1,"CS","illegal_fishing",2,66069.6610490808,0
"157","MNI Fishery","Aluterus scriptus","BAU",1,"no_CS","no_illegal_fishing",2,53760.214516621,0
"158","MNI Fishery","Aluterus scriptus","30& MPA",1,"no_CS","no_illegal_fishing",2,66069.6610490808,0
"159","MNI Fishery","Aluterus scriptus","BAU",1,"CS","no_illegal_fishing",2,53760.214516621,0
