"","species","management","time","biomass","harvest1","profit1","BvBMSY","FvFMSY1","FvFMSYtotal"
"2936","Panulirus argus","30% MPA",28,1094.08318742159,77.1383213647365,771.383213647365,0.491596175557709,1.79373000058463,1.79373000058463
"2937","Panulirus argus","BAU",29,628.446279544245,63.2979957613155,632.979957613156,0.28237504343294,2.56247142940662,2.56247142940662
"2938","Panulirus argus","30% MPA",29,1088.53604234829,76.7472199711303,767.472199711304,0.489103718553842,1.79373000058463,1.79373000058463
"2939","Panulirus argus","BAU",30,617.650946694643,62.2106746088191,622.106746088192,0.277524457660533,2.56247142940662,2.56247142940662
"2940","Panulirus argus","30% MPA",30,1083.20723623996,76.3715125635036,763.715125635036,0.486709366156093,1.79373000058463,1.79373000058463
"2941","Pomacanthus arcuatus","BAU",1,216.406617369395,18.9772902008214,189.772902008214,0.517608833024022,6.31914893617021,6.31914893617021
"2942","Pomacanthus arcuatus","30% MPA",1,216.406617369395,18.9772902008214,189.772902008214,0.517608833024022,6.31914893617021,6.31914893617021
"2943","Pomacanthus arcuatus","BAU",2,202.292618643841,17.7395949169861,177.395949169861,0.48385048266283,6.31914893617021,6.31914893617021
"2944","Pomacanthus arcuatus","30% MPA",2,202.292618643841,12.4177164418902,124.177164418902,0.48385048266283,4.42340425531915,4.42340425531915
"2945","Pomacanthus arcuatus","BAU",3,189.265362288437,16.5971990541321,165.971990541321,0.452691440293457,6.31914893617021,6.31914893617021
"2946","Pomacanthus arcuatus","30% MPA",3,194.587240763533,11.9447224283828,119.447224283828,0.465420493316304,4.42340425531915,4.42340425531915
"2947","Pomacanthus arcuatus","BAU",4,177.228613655267,15.5416635318699,155.416635318699,0.423901528556222,6.31914893617021,6.31914893617021
"2948","Pomacanthus arcuatus","30% MPA",4,187.266517641887,11.4953404169005,114.953404169005,0.447910534526926,4.42340425531915,4.42340425531915
"2949","Pomacanthus arcuatus","BAU",5,166.095750299717,14.5653921902976,145.653921902976,0.397273560891787,6.31914893617021,6.31914893617021
"2950","Pomacanthus arcuatus","30% MPA",5,180.307212794615,11.0681440376879,110.681440376879,0.431265028467811,4.42340425531915,4.42340425531915
