"","fishery","species","management","MC","catchShare","illegalFishing","implementYear","recTime"
"214","MNI Fishery","Canthidermis sufflamen","30% MPA",1,"no_CS","no_illegal_fishing",2,NA
"215","MNI Fishery","Canthidermis sufflamen","BAU",1,"CS","no_illegal_fishing",2,NA
"216","MNI Fishery","Canthidermis sufflamen","30% MPA",1,"CS","no_illegal_fishing",2,NA
"217","MNI Fishery","Carangoides bartholomaei","BAU",1,"no_CS","illegal_fishing",2,6
"218","MNI Fishery","Carangoides bartholomaei","30% MPA",1,"no_CS","illegal_fishing",2,6
"219","MNI Fishery","Carangoides bartholomaei","BAU",1,"CS","illegal_fishing",2,6
"220","MNI Fishery","Carangoides bartholomaei","30% MPA",1,"CS","illegal_fishing",2,6
"221","MNI Fishery","Carangoides bartholomaei","BAU",1,"no_CS","no_illegal_fishing",2,6
"222","MNI Fishery","Carangoides bartholomaei","30% MPA",1,"no_CS","no_illegal_fishing",2,6
"223","MNI Fishery","Carangoides bartholomaei","BAU",1,"CS","no_illegal_fishing",2,6
"224","MNI Fishery","Carangoides bartholomaei","30% MPA",1,"CS","no_illegal_fishing",2,6
"225","MNI Fishery","Caranx latus","BAU",1,"no_CS","illegal_fishing",2,NA
"226","MNI Fishery","Caranx latus","30% MPA",1,"no_CS","illegal_fishing",2,NA
"227","MNI Fishery","Caranx latus","BAU",1,"CS","illegal_fishing",2,NA
"228","MNI Fishery","Caranx latus","30% MPA",1,"CS","illegal_fishing",2,NA
"229","MNI Fishery","Caranx latus","BAU",1,"no_CS","no_illegal_fishing",2,NA
"230","MNI Fishery","Caranx latus","30% MPA",1,"no_CS","no_illegal_fishing",2,NA
"231","MNI Fishery","Caranx latus","BAU",1,"CS","no_illegal_fishing",2,NA
"232","MNI Fishery","Caranx latus","30% MPA",1,"CS","no_illegal_fishing",2,NA
"233","MNI Fishery","Caranx ruber","BAU",1,"no_CS","illegal_fishing",2,NA
"234","MNI Fishery","Caranx ruber","30% MPA",1,"no_CS","illegal_fishing",2,17
"235","MNI Fishery","Caranx ruber","BAU",1,"CS","illegal_fishing",2,NA
"236","MNI Fishery","Caranx ruber","30% MPA",1,"CS","illegal_fishing",2,17
"237","MNI Fishery","Caranx ruber","BAU",1,"no_CS","no_illegal_fishing",2,NA
"238","MNI Fishery","Caranx ruber","30% MPA",1,"no_CS","no_illegal_fishing",2,17
"239","MNI Fishery","Caranx ruber","BAU",1,"CS","no_illegal_fishing",2,NA
"240","MNI Fishery","Caranx ruber","30% MPA",1,"CS","no_illegal_fishing",2,17
"241","MNI Fishery","Cephalopholis cruentata","BAU",1,"no_CS","illegal_fishing",2,30
"242","MNI Fishery","Cephalopholis cruentata","30% MPA",1,"no_CS","illegal_fishing",2,24
"243","MNI Fishery","Cephalopholis cruentata","BAU",1,"CS","illegal_fishing",2,30
"244","MNI Fishery","Cephalopholis cruentata","30% MPA",1,"CS","illegal_fishing",2,24
"245","MNI Fishery","Cephalopholis cruentata","BAU",1,"no_CS","no_illegal_fishing",2,30
"246","MNI Fishery","Cephalopholis cruentata","30% MPA",1,"no_CS","no_illegal_fishing",2,24
"247","MNI Fishery","Cephalopholis cruentata","BAU",1,"CS","no_illegal_fishing",2,30
"248","MNI Fishery","Cephalopholis cruentata","30% MPA",1,"CS","no_illegal_fishing",2,24
"249","MNI Fishery","Cephalopholis fulva","BAU",1,"no_CS","illegal_fishing",2,NA
"250","MNI Fishery","Cephalopholis fulva","30% MPA",1,"no_CS","illegal_fishing",2,NA
"251","MNI Fishery","Cephalopholis fulva","BAU",1,"CS","illegal_fishing",2,NA
"252","MNI Fishery","Cephalopholis fulva","30% MPA",1,"CS","illegal_fishing",2,NA
"253","MNI Fishery","Cephalopholis fulva","BAU",1,"no_CS","no_illegal_fishing",2,NA
"254","MNI Fishery","Cephalopholis fulva","30% MPA",1,"no_CS","no_illegal_fishing",2,NA
"255","MNI Fishery","Cephalopholis fulva","BAU",1,"CS","no_illegal_fishing",2,NA
"256","MNI Fishery","Cephalopholis fulva","30% MPA",1,"CS","no_illegal_fishing",2,NA
"257","MNI Fishery","Epinephelus adscensionis","BAU",1,"no_CS","illegal_fishing",2,NA
"258","MNI Fishery","Epinephelus adscensionis","30% MPA",1,"no_CS","illegal_fishing",2,NA
"259","MNI Fishery","Epinephelus adscensionis","BAU",1,"CS","illegal_fishing",2,NA
"260","MNI Fishery","Epinephelus adscensionis","30% MPA",1,"CS","illegal_fishing",2,NA
"261","MNI Fishery","Epinephelus adscensionis","BAU",1,"no_CS","no_illegal_fishing",2,NA
"262","MNI Fishery","Epinephelus adscensionis","30% MPA",1,"no_CS","no_illegal_fishing",2,NA
"263","MNI Fishery","Epinephelus adscensionis","BAU",1,"CS","no_illegal_fishing",2,NA
"264","MNI Fishery","Epinephelus adscensionis","30% MPA",1,"CS","no_illegal_fishing",2,NA
"265","MNI Fishery","Haemulon album","BAU",1,"no_CS","illegal_fishing",2,26
"266","MNI Fishery","Haemulon album","30% MPA",1,"no_CS","illegal_fishing",2,21
"267","MNI Fishery","Haemulon album","BAU",1,"CS","illegal_fishing",2,26
"268","MNI Fishery","Haemulon album","30% MPA",1,"CS","illegal_fishing",2,21
"269","MNI Fishery","Haemulon album","BAU",1,"no_CS","no_illegal_fishing",2,26
"270","MNI Fishery","Haemulon album","30% MPA",1,"no_CS","no_illegal_fishing",2,21
"271","MNI Fishery","Haemulon album","BAU",1,"CS","no_illegal_fishing",2,26
"272","MNI Fishery","Haemulon album","30% MPA",1,"CS","no_illegal_fishing",2,21
"273","MNI Fishery","Haemulon carbonarium","BAU",1,"no_CS","illegal_fishing",2,NA
"274","MNI Fishery","Haemulon carbonarium","30% MPA",1,"no_CS","illegal_fishing",2,NA
"275","MNI Fishery","Haemulon carbonarium","BAU",1,"CS","illegal_fishing",2,NA
"276","MNI Fishery","Haemulon carbonarium","30% MPA",1,"CS","illegal_fishing",2,NA
"277","MNI Fishery","Haemulon carbonarium","BAU",1,"no_CS","no_illegal_fishing",2,NA
"278","MNI Fishery","Haemulon carbonarium","30% MPA",1,"no_CS","no_illegal_fishing",2,NA
"279","MNI Fishery","Haemulon carbonarium","BAU",1,"CS","no_illegal_fishing",2,NA
"280","MNI Fishery","Haemulon carbonarium","30% MPA",1,"CS","no_illegal_fishing",2,NA
"281","MNI Fishery","Haemulon flavolineatum","BAU",1,"no_CS","illegal_fishing",2,23
"282","MNI Fishery","Haemulon flavolineatum","30% MPA",1,"no_CS","illegal_fishing",2,19
"283","MNI Fishery","Haemulon flavolineatum","BAU",1,"CS","illegal_fishing",2,23
"284","MNI Fishery","Haemulon flavolineatum","30% MPA",1,"CS","illegal_fishing",2,19
"285","MNI Fishery","Haemulon flavolineatum","BAU",1,"no_CS","no_illegal_fishing",2,23
"286","MNI Fishery","Haemulon flavolineatum","30% MPA",1,"no_CS","no_illegal_fishing",2,19
"287","MNI Fishery","Haemulon flavolineatum","BAU",1,"CS","no_illegal_fishing",2,23
"288","MNI Fishery","Haemulon flavolineatum","30% MPA",1,"CS","no_illegal_fishing",2,19
"289","MNI Fishery","Haemulon parrai","BAU",1,"no_CS","illegal_fishing",2,22
"290","MNI Fishery","Haemulon parrai","30% MPA",1,"no_CS","illegal_fishing",2,18
"291","MNI Fishery","Haemulon parrai","BAU",1,"CS","illegal_fishing",2,22
"292","MNI Fishery","Haemulon parrai","30% MPA",1,"CS","illegal_fishing",2,18
"293","MNI Fishery","Haemulon parrai","BAU",1,"no_CS","no_illegal_fishing",2,22
"294","MNI Fishery","Haemulon parrai","30% MPA",1,"no_CS","no_illegal_fishing",2,18
