"","Fishery","Country","Site","Species","Scientific","Time","N","phi_lower","phi_expected","phi_upper","g_lower","g_expected","g_upper","K_lower","K_expected","K_upper","b0_lower","b0_expected","b0_upper","f0_total_low","f0_total_expected","f0_total_high","theta_domestic","theta_legal1_lower","theta_legal1_expected","theta_legal1_upper","theta_legal2_lower","theta_legal2_expected","theta_legal2_upper","p1_lower","p1_expected","p1_upper","p2_lower","p2_expected","p2_upper","beta_lower","beta_expected","beta_upper","c1_lower","c1_expected","c1_upper","c2_lower","c2_expected","c2_upper","disc_lower","disc_expected","disc_upper","gamma_p1","gamma_p2","gamma_c1","gamma_c2","lambda","split"
"34","MNI Fishery","Montserrat","MNI","Haemulon album","Haemulon album",50,1,0.188,0.188,0.188,0.0384594719755323,0.0384594719755323,0.0384594719755323,16986.7496523227,16986.7496523227,16986.7496523227,0.373350011425116,0.373350011425116,0.373350011425116,0.727727161645699,0.727727161645699,0.727727161645699,1,1,1,1,0,0,0,22,22,22,22,22,22,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0.03,1
"35","MNI Fishery","Montserrat","MNI","Haemulon carbonarium","Haemulon carbonarium",50,1,0.188,0.188,0.188,0.0368796104924303,0.0368796104924303,0.0368796104924303,11268.3926680357,11268.3926680357,11268.3926680357,0.425715212703313,0.425715212703313,0.425715212703313,1.99246936952595,1.99246936952595,1.99246936952595,1,1,1,1,0,0,0,22,22,22,22,22,22,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0.03,1
"36","MNI Fishery","Montserrat","MNI","Haemulon flavolineatum","Haemulon flavolineatum",50,1,0.188,0.188,0.188,0.0368171387305916,0.0368171387305916,0.0368171387305916,9941.40347463761,9941.40347463761,9941.40347463761,0.403028026246568,0.403028026246568,0.403028026246568,0.62705949873949,0.62705949873949,0.62705949873949,1,1,1,1,0,0,0,22,22,22,22,22,22,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0.03,1
"37","MNI Fishery","Montserrat","MNI","Haemulon parrai","Haemulon parrai",50,1,0.188,0.188,0.188,0.0405324906326185,0.0405324906326185,0.0405324906326185,9505.6653412245,9505.6653412245,9505.6653412245,0.402734239176965,0.402734239176965,0.402734239176965,0.596125044524289,0.596125044524289,0.596125044524289,1,1,1,1,0,0,0,22,22,22,22,22,22,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0.03,1
"38","MNI Fishery","Montserrat","MNI","Heteropriacanthus cruentatus","Heteropriacanthus cruentatus",50,1,0.188,0.188,0.188,0.0943986801375644,0.0943986801375644,0.0943986801375644,416.597613173644,416.597613173644,416.597613173644,0.317826617213822,0.317826617213822,0.317826617213822,0.400034123895624,0.400034123895624,0.400034123895624,1,1,1,1,0,0,0,22,22,22,22,22,22,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0.03,1
"39","MNI Fishery","Montserrat","MNI","Holacanthus ciliaris","Holacanthus ciliaris",50,1,0.188,0.188,0.188,0.0524790129790221,0.0524790129790221,0.0524790129790221,563.665674576013,563.665674576013,563.665674576013,0.408842356535856,0.408842356535856,0.408842356535856,2.48060791503557,2.48060791503557,2.48060791503557,1,1,1,1,0,0,0,22,22,22,22,22,22,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0.03,1
"40","MNI Fishery","Montserrat","MNI","Holacanthus tricolor","Holacanthus tricolor",50,1,0.188,0.188,0.188,0.0506165253044722,0.0506165253044722,0.0506165253044722,6899.3856403949,6899.3856403949,6899.3856403949,0.339272569893187,0.339272569893187,0.339272569893187,1.32931853592208,1.32931853592208,1.32931853592208,1,1,1,1,0,0,0,22,22,22,22,22,22,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0.03,1
"41","MNI Fishery","Montserrat","MNI","Holocentrus adscensionis","Holocentrus adscensionis",50,1,0.188,0.188,0.188,0.0473106796531184,0.0473106796531184,0.0473106796531184,59729.608483606,59729.608483606,59729.608483606,0.440513369132962,0.440513369132962,0.440513369132962,1.56246989113792,1.56246989113792,1.56246989113792,1,1,1,1,0,0,0,22,22,22,22,22,22,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0.03,1
"42","MNI Fishery","Montserrat","MNI","Kyphosus sectatrix","Kyphosus sectatrix",50,1,0.188,0.188,0.188,0.0129676087496092,0.0129676087496092,0.0129676087496092,3490.08129335305,3490.08129335305,3490.08129335305,0.435740004353418,0.435740004353418,0.435740004353418,5.19757769762098,5.19757769762098,5.19757769762098,1,1,1,1,0,0,0,22,22,22,22,22,22,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0.03,1
"43","MNI Fishery","Montserrat","MNI","Lutjanidae","Lutjanidae",50,1,0.188,0.188,0.188,0.0717626676316223,0.0717626676316223,0.0717626676316223,1451.08005795232,1451.08005795232,1451.08005795232,0.314216802171189,0.314216802171189,0.314216802171189,31.6315881445676,31.6315881445676,31.6315881445676,1,1,1,1,0,0,0,22,22,22,22,22,22,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0.03,1
"44","MNI Fishery","Montserrat","MNI","Lutjanus griseus","Lutjanus griseus",50,1,0.188,0.188,0.188,0.0386084716053255,0.0386084716053255,0.0386084716053255,840.843423994142,840.843423994142,840.843423994142,0.310608417449427,0.310608417449427,0.310608417449427,0,0,0,1,1,1,1,0,0,0,22,22,22,22,22,22,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0.03,1
"45","MNI Fishery","Montserrat","MNI","Lutjanus jocu","Lutjanus jocu",50,1,0.188,0.188,0.188,0.0197541825499797,0.0197541825499797,0.0197541825499797,19784.2132377599,19784.2132377599,19784.2132377599,0.667909058891642,0.667909058891642,0.667909058891642,3.62981121120031,3.62981121120031,3.62981121120031,1,1,1,1,0,0,0,22,22,22,22,22,22,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0.03,1
"46","MNI Fishery","Montserrat","MNI","Melichthys niger","Melichthys niger",50,1,0.188,0.188,0.188,0.0400073415259131,0.0400073415259131,0.0400073415259131,1227.09061691285,1227.09061691285,1227.09061691285,0.593155439383304,0.593155439383304,0.593155439383304,5.40873510137576,5.40873510137576,5.40873510137576,1,1,1,1,0,0,0,22,22,22,22,22,22,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0.03,1
"47","MNI Fishery","Montserrat","MNI","Menticirrhus littoralis","Menticirrhus littoralis",50,1,0.188,0.188,0.188,0.0572386624171888,0.0572386624171888,0.0572386624171888,2021.43297518341,2021.43297518341,2021.43297518341,0.346171043043228,0.346171043043228,0.346171043043228,0.748999789631835,0.748999789631835,0.748999789631835,1,1,1,1,0,0,0,22,22,22,22,22,22,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0.03,1
"48","MNI Fishery","Montserrat","MNI","Mullidae","Mullidae",50,1,0.188,0.188,0.188,0.0460973481572983,0.0460973481572983,0.0460973481572983,14345.8433413375,14345.8433413375,14345.8433413375,0.365062691658142,0.365062691658142,0.365062691658142,1.21159198700796,1.21159198700796,1.21159198700796,1,1,1,1,0,0,0,22,22,22,22,22,22,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0.03,1
"49","MNI Fishery","Montserrat","MNI","Panulirus argus","Panulirus argus",50,1,0.188,0.188,0.188,0.0392812701269797,0.0392812701269797,0.0392812701269797,5552.59506932283,5552.59506932283,5552.59506932283,0.638380329061976,0.638380329061976,0.638380329061976,2.58548176733385,2.58548176733385,2.58548176733385,1,1,1,1,0,0,0,22,22,22,22,22,22,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0.03,1
"50","MNI Fishery","Montserrat","MNI","Pomacanthus arcuatus","Pomacanthus arcuatus",50,1,0.188,0.188,0.188,0.0138469761546231,0.0138469761546231,0.0138469761546231,1045.92695937039,1045.92695937039,1045.92695937039,0.517769943007806,0.517769943007806,0.517769943007806,11.0017256623174,11.0017256623174,11.0017256623174,1,1,1,1,0,0,0,22,22,22,22,22,22,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0.03,1
"51","MNI Fishery","Montserrat","MNI","Pomacanthus paru","Pomacanthus paru",50,1,0.188,0.188,0.188,0.0402243799124289,0.0402243799124289,0.0402243799124289,2885.83360799328,2885.83360799328,2885.83360799328,0.43732426882662,0.43732426882662,0.43732426882662,2.56082044762785,2.56082044762785,2.56082044762785,1,1,1,1,0,0,0,22,22,22,22,22,22,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0.03,1
"52","MNI Fishery","Montserrat","MNI","Priacanthus arenatus","Priacanthus arenatus",50,1,0.188,0.188,0.188,0.104726401789294,0.104726401789294,0.104726401789294,564.098490428923,564.098490428923,564.098490428923,0.485127814292354,0.485127814292354,0.485127814292354,1.22123923764733,1.22123923764733,1.22123923764733,1,1,1,1,0,0,0,22,22,22,22,22,22,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0.03,1
"53","MNI Fishery","Montserrat","MNI","Scaridae","Scaridae",50,1,0.188,0.188,0.188,0.0714358087921748,0.0714358087921748,0.0714358087921748,950.070794589877,950.070794589877,950.070794589877,0.308189043467079,0.308189043467079,0.308189043467079,7.29089283215942,7.29089283215942,7.29089283215942,1,1,1,1,0,0,0,22,22,22,22,22,22,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0.03,1
"54","MNI Fishery","Montserrat","MNI","Scarus coeruleus","Scarus coeruleus",50,1,0.188,0.188,0.188,0.0326770346239824,0.0326770346239824,0.0326770346239824,7088.59370608971,7088.59370608971,7088.59370608971,0.402321126179218,0.402321126179218,0.402321126179218,2.03881603023246,2.03881603023246,2.03881603023246,1,1,1,1,0,0,0,22,22,22,22,22,22,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0.03,1
"55","MNI Fishery","Montserrat","MNI","Sparisoma viride","Sparisoma viride",50,1,0.188,0.188,0.188,0.0380256003647889,0.0380256003647889,0.0380256003647889,11725.0136762861,11725.0136762861,11725.0136762861,0.381361533223219,0.381361533223219,0.381361533223219,1.05863483981229,1.05863483981229,1.05863483981229,1,1,1,1,0,0,0,22,22,22,22,22,22,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0.03,1
"56","MNI Fishery","Montserrat","MNI","Sphyraenidae","Sphyraenidae",50,1,0.188,0.188,0.188,0.0595724412200303,0.0595724412200303,0.0595724412200303,4603.94011814236,4603.94011814236,4603.94011814236,0.438629398772043,0.438629398772043,0.438629398772043,2.556067508751,2.556067508751,2.556067508751,1,1,1,1,0,0,0,22,22,22,22,22,22,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0.03,1
"57","MNI Fishery","Montserrat","MNI","Squalidade","Squalidade",50,1,0.188,0.188,0.188,0.0425203529725108,0.0425203529725108,0.0425203529725108,11334.4159521239,11334.4159521239,11334.4159521239,0.388107863848404,0.388107863848404,0.388107863848404,0.521262119680698,0.521262119680698,0.521262119680698,1,1,1,1,0,0,0,22,22,22,22,22,22,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0.03,1
"58","MNI Fishery","Montserrat","MNI","Thunnus sp.","Thunnus sp.",50,1,0.188,0.188,0.188,0.0722954484676024,0.0722954484676024,0.0722954484676024,5511.50305112841,5511.50305112841,5511.50305112841,0.30007031778263,0.30007031778263,0.30007031778263,0.0627273899106377,0.0627273899106377,0.0627273899106377,1,1,1,1,0,0,0,22,22,22,22,22,22,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0.03,1
