,common_name,id10,scientific_name,new_id
468,yellowfin grouper,SERVE,Mycteroperca venenosa,SERRVE
469,jolthead porgy,SPARBA,Calamus bajonado,SPARBA
477,"porgy,g:calamus",SPARC,Calamus spp,SPARC
478,saucereye porgy,SPARCA,Calamus calamus,SPARCA
479,sea bream,SPARCH,Archosargus rhomboidalis,SPARRH
480,sea bream,SPAROCH,Archosargus rhomboidalis,SPARRH
481,pluma porgy,SPARPN,Calamus pennatula,SPARPN
483,sea bream,SPARRH,Archosargus rhomboidalis,SPARRH
484,pinfish,SPARRO,Lagodon rhomboides,SPARRO
485,scaloped hammerhead shark,SPHRLE,Sphyrna lewini,SPHRLE
486,great hammerhead shark,SPHRMO,Sphyrna mokarran,SPHRMO
487,barracuda,SPHY,Sphyraenidae,SPHY
489,great barracuda,SPHYBA,Sphyraena barracuda,SPHYBA
490,"sennet,southern",SPHYPI,Sphyraena picudilla,
495,"sharks,unclassified",SQUA,Squalidade,SQUA
496,queen conch,STROGI,Strombus gigas,STROGI
497,lizardfishes,SYNO,Synodontidae,SYNO
498,cottonwick,HAEMME,,
499,NA,NA,NA,NA
500,lane snapper,LUTSY,Lutjanus synagris,LUTJSY
501,no catch,NA,NA,NA
502,no catch ,NA,NA,NA
503,no catch - came back in because current was too strong,NA,NA,NA
504,no catch due to strong current,NA,NA,NA
505,no data,NA,NA,NA
506,no data ,NA,NA,NA
507,no data collected,NA,NA,NA
508,none,NA,NA,NA
509,tuna,SCOM,,
510,unknown,NA,NA,NA
511,white margate,HAEMAL,,
512,,,NA,NA
513,,,NA,NA
514,,,NA,NA
515,,,NA,NA
