"","species","management","time","biomass","harvest1","profit1","BvBMSY","FvFMSY1","FvFMSYtotal"
"3220","Epinephelus adscensionis","30% MPA",10,1636.76780907174,9.81794761069707,215.994847435336,0.383002829751983,0.354302408070153,0.354302408070153
"3221","Epinephelus adscensionis","BAU",11,1643.5104750332,14.083418073871,309.835197625163,0.384580610136592,0.506146297243075,0.506146297243075
"3222","Epinephelus adscensionis","30% MPA",11,1678.99362712821,10.0712339150828,221.567146131821,0.3928836495693,0.354302408070153,0.354302408070153
"3223","Epinephelus adscensionis","BAU",12,1681.58967515819,14.4097228364056,317.013902400923,0.393491123479858,0.506146297243075,0.506146297243075
"3224","Epinephelus adscensionis","30% MPA",12,1721.70284610534,10.3274198396148,227.203236471525,0.402877584954683,0.354302408070153,0.354302408070153
"3225","Epinephelus adscensionis","BAU",13,1720.00510836455,14.7389088163873,324.255993960521,0.402480315192107,0.506146297243075,0.506146297243075
"3226","Epinephelus adscensionis","30% MPA",13,1764.88277246657,10.5864292436968,232.90144336133,0.412981665627073,0.354302408070153,0.354302408070153
"3227","Epinephelus adscensionis","BAU",14,1758.74499616914,15.070875082727,331.559251819994,0.411545429114313,0.506146297243075,0.506146297243075
"3228","Epinephelus adscensionis","30% MPA",14,1808.52033478867,10.8481837200265,238.660041840584,0.423192832880126,0.354302408070153,0.354302408070153
"3229","Epinephelus adscensionis","BAU",15,1797.79735112415,15.4055189136946,338.921416101282,0.420683660189818,0.506146297243075,0.506146297243075
"3230","Epinephelus adscensionis","30% MPA",15,1852.60210248562,11.1126027069083,244.477259551984,0.433507943963582,0.354302408070153,0.354302408070153
"3231","Epinephelus adscensionis","BAU",16,1837.1499926728,15.7427359327889,346.340190521357,0.429892158174574,0.506146297243075,0.506146297243075
"3232","Epinephelus adscensionis","30% MPA",16,1897.11430500428,11.3796036033964,250.351279274721,0.443923776575055,0.354302408070153,0.354302408070153
"3233","Epinephelus adscensionis","BAU",17,1876.79056312546,16.0824202456377,353.81324540403,0.439168031375526,0.506146297243075,0.506146297243075
"3234","Epinephelus adscensionis","30% MPA",17,1942.04285143715,11.6491018869391,256.28024151266,0.454437033449403,0.354302408070153,0.354302408070153
"3235","Epinephelus adscensionis","BAU",18,1916.70654371712,16.4244645775971,361.338220707136,0.448508350408073,0.506146297243075,0.506146297243075
"3236","Epinephelus adscensionis","30% MPA",18,1987.3733504972,11.9210112331955,262.262247130301,0.46504434703282,0.354302408070153,0.354302408070153
"3237","Epinephelus adscensionis","BAU",19,1956.88527070862,16.7687604117236,368.912729057919,0.457910151963728,0.506146297243075,0.506146297243075
"3238","Epinephelus adscensionis","30% MPA",19,2033.09113079968,12.1952436376938,268.295360029263,0.475742284228787,0.354302408070153,0.354302408070153
"3239","Epinephelus adscensionis","BAU",20,1997.31395149401,17.1151981268006,376.534358789613,0.467370442579245,0.506146297243075,0.506146297243075
"3240","Epinephelus adscensionis","30% MPA",20,2079.18126139644,12.4717095390032,274.377609858069,0.486527351203076,0.354302408070153,0.354302408070153
"3241","Epinephelus adscensionis","BAU",21,2037.97968067795,17.4636671351072,384.200676972359,0.476886202398723,0.506146297243075,0.506146297243075
"3242","Epinephelus adscensionis","30% MPA",21,2125.6285725082,12.7503179430942,280.506994748072,0.497395998235098,0.354302408070153,0.354302408070153
